OSF.surprised,OSF.upset,OSF.angry,OSF.jealous,OSF.happy,OSF.threatened,OSF.relieved,OSF.sad,SSF.surprised,SSF.upset,SSF.angry,SSF.jealous,SSF.happy,SSF.threatened,SSF.relieved,SSF.sad,Rom.surprised,Rom.upset,Rom.angry,Rom.jealous,Rom.happy,Rom.threatened,Rom.relieved,Rom.sad,Age.Participant,Relationship.Status.Participant,Gender,Sexual.Orientation.Participant,Age.Friend,OSF.closer.SSF,Friendship.Duration.Wks,Meeting.type,InPerson.communication.type,Phone.communication.type,SocialNetwork.communication.type,Email.communication.type,Contact.Frequency,Sexual.Orientation.Friend,Comparison.Attractive,Romantic.Attraction.tofriend,Sexual.Attraction.tofriend,Clearly.Dating.Their.OSF
2,2,1,3,3,1,3,1,1,1,1,3,3,1,2,1,2,1,1,1,2,1,2,1,21,1,2,4,21,2,100,3,1,1,2,2,1,1,3,3,1,2
4,1,1,1,3,1,2,1,1,1,1,1,3,1,1,1,4,1,1,1,3,1,2,1,20,1,2,2,19,2,364,5,1,1,2,2,1,2,3,1,1,2
3,2,2,3,3,3,1,2,1,1,1,1,3,1,1,1,3,3,2,2,2,3,2,3,19,3,2,2,22,2,170,3,1,1,1,2,1,2,7,7,7,1
1,1,1,1,4,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,5,1,2,1,20,2,2,2,20,2,130,2,1,1,1,2,1,2,3,1,1,2
2,1,1,1,4,1,2,1,1,1,1,1,4,1,4,1,3,1,1,1,3,2,2,1,18,1,1,2,18,2,5,5,1,1,1,2,1,2,5,5,5,2
1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,2,1,1,18,1,1,2,18,2,2,1,2,2,1,2,1,2,5,4,4,2
3,1,1,1,2,1,1,2,4,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,19,1,1,2,18,2,8,1,1,1,1,2,1,2,6,3,5,2
4,4,4,4,1,5,1,2,1,1,1,2,4,2,1,1,3,4,4,4,2,4,1,2,19,4,1,2,19,2,100,5,1,1,2,2,2,2,6,6,6,2
1,2,1,3,2,4,1,2,1,1,1,3,3,2,1,1,4,2,2,1,2,2,1,2,20,1,1,2,19,2,80,5,1,1,1,2,1,2,7,2,6,2
1,1,1,1,4,1,3,1,2,2,2,1,4,1,3,1,2,1,1,1,4,1,3,1,19,1,2,2,19,2,100,5,1,1,1,1,1,2,5,1,1,2
2,1,1,2,2,1,1,1,2,1,1,2,3,2,3,2,4,3,3, ,2,2,2,3,19,1,2,3,17,2,52,1,1,2,2,2,5,3,1,1,1,2
3,1,1,1,3,1,1,1,2,1,1,1,3,1,1,1,2,3,2,2,3,2,1,3,19,2,2,2,19,2,52,5,1,2,1,2,3,2,3,2,2,2
1,2,1,2,3,1,1,2,2,2,1,1,2,1,1,2,2,1,1,2,3,1,1,2,38,4,2,1,38,2,780,1,1,1,1,2,1,3,4,1,1,2
2,2,2,3,3,2,2,2,1,1,1,2,4,2,1,1,4,3,2,3,3,4,2,4,19,1,2,2,20,2,78,1,1,2,1,2,1,2,5,3,3,2
1,1,1,2,4,1,3,2,1,1,1,1,3,2,1,2,5,2,2,1,2,1,1,2,19,3,2,2,20,2,208,3,1,1,1,2,1,2,1,1,1,2
1,1,1,2,4,1,3,2,1,1,1,2,4,1,3,2,1,1,1,2,4,1,3,2,19,1,3,1,18,2,208,5, , , , ,7,4,5,1,1,2
1,1,1,1,4,1,5,1,3,1,1,1,4,1,4,1,2,1,1,1,3,1,3,1,18,3,1,3,18,2,5,1,1,2,2,2,3,4,4,1,1,2
3,1,1,1,5,1,1,1,3,1,1,1,5,1,5,1,3,1,1,1,5,1,3,1,18,3,1,2,18,2,2,1,2,2,2,1,7,2,1,1,1,2
1,2,1,2,4,3,2,3,1,1,1,2,3,2,1,2,1,3,1,3,4,2,2,3,18,1,2,2,19,2,4,1,1,1,1,2,3,2,4,1,1,2
1,1,1,1,2,1,1,1,4,1,1,1,4,1,2,1,1,1,1,1,4,1,2,1,19,1,2,2,19,2,25,1,1,2,2,2,2, ,2,1,1,2
1,2,1,2,4,1,5,1,1,1,1,1,1,1,4,1,1,1,3,1,3,1,1,1,19,3,2,2,19,2,26,7,1,2,1,2,3,2,2,1,1,2
2,1,1,1,3,1,1,2,4,2,1,2,2,1,1,2,1,1,1,1,4,1,2,1,19,1,2,2,19,2,52,1,1,1,1,2,1,2,3,2,1,2
3,1,1,1,2,1,2,1,2,1,1,1,4,1,3,1,4,1,1,1,4,2,3,1,20,1,1,2,20,1,52,3,1,1,1,2,1,2,2,2,2,2
1,1,1,1,5,1,1,1,4,1,1,1,5,1,3,1,3,1,1,1,5,1,3,1,20,1,2,2,20,2,52,5,1,1,2,2,1,2,2,1,1,2
3,1,1,3,4,2,3,2,4,1,1,2,4,2,3,2,5,1,1,2,4,2,3,2,20,1,2,2,20,1,520,5,1,1,1,2,1,3,7,1,1,2
4,3,2,4,2,3,2,3,2,1,1,1,3,1,3,1,4,3,3,3,2,3,1,2,18,3,2,2,19,1,104,1,1,1,2,2,1,2,5,4,2,2
2,2,1,2,2,2,1,2,1,1,1,2,3,1,2,1,2,1,1,1,4,1,4,1,19,3,2,2,20,2,57,5,1,2,1,2,2, ,5,1,1,2
1,1,1,2,3,2,1,2,1,1,1,1,4,1,3,1,1,1,1,1,4,1,3,1,19,3,2,2,19,2,37,5,1,1,1,2,1,2,5,1,1,2
3,2,2,3,3,3,2,2,4,2,2,3,4,2,3,2,4,2,1,4,3,2,2,3,22,1,1,2,21,1,20,3,1,1,1,2,1,2,5,4,6,2
4,3,2,4,5,3,1,2,4,2,2,4,4,3,1,3,4,4,2,5,3,5,1,5,18,1,1,2,18,1,156,1,1,1,1,2,3,2,6,6,4,2
3,1,1,2,4,2, ,2,2,1,1,1,5,2,1,2,2,1,1,1,4,1,1,1,18,1,1,2,18,2,3,5,1,1,2,2,2,2,4,2,2,2
1,1,1,1,1,1,1,1,1,1,1, ,5,1,4,1,1,1,1,1,1,1,1,1,18,1,1,2,18,2,52,5,2,2,1,2,2,2,5,1,1,2
4,3,2,3,2,2,1,1,1,1,1,1,4,1,3,1,4,3,3,3,1,4,1,3,19,3,1,2,18,1,208,5,1,1,2,2,1,2,5,7,7,2
1,1,1,1,3,1,1,1,1,1,1,1,4,1,3,1,1,1,1,2,4,1,1,1,23,1,1,2,21,2,120,1,2,2,1,2,1,2,5,4,6,2
1,1,4,1,3,1,1,3,1,1,1,1,5,1,3,1,2,1,1,1,5,1,1,1,19,3,2,2,19,2,52,1,1,1,2,2,2,2,6,1,1,2
1,1,1,2,1,1,1,1,2,1,1,2,4,2,2,1,5,5,5,1,1,5,1,5,19,1,1,2,19,2,780,5,1,1,1,2,1,2,3,1,1,2
4,1,1,1,5,1,3,1,2,1,1,1,3,1,2,1,4,1,1,1,5,1,3,1,19,3,2,1,19,2,52,1,1,2,2,2,2,2,6,1,1,2
1,2,2,1,2,1,1,2,1,1,1,1,4,1,2,1,3,1,1,1,5,1,3,1,19,3,2,2,19,2,56,2,1,1,2,2,1,2,6,1,1,2
2,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,2,1,1,1,3,1,1,1,20,1,1,2,20,2,150,5,1,1,1,2,1,2,5,3,4,2
2,2,2,4,5,1,2,3,1,1,1,1,4,1,1,3,4,2,1,1,3,5,2,4,20,3,1,2,20,2,150,8,1,1,1,1,1,2,4,4,4,2
1,1,1,1,4,1,2,1,2,1,1,1,4,1,2,1,2,1,1,1,5,1,2,1,22,3,1,2,21,2,104,1,1,1,1,2,2,2,5,1,1,2
1,1,1,1,3,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,20,3,1,2,10,2,1000,7,1,2,1,2,1,2,5,1,5,2
2,1,1,2,3,2,1,1,2,1,1,1,4,1,1,1,1,1,1,1,3,1,1,1,19,1,1,2,19,2,60,5,1,1,2,2,1,2,6,3,5,2
3,1,1,3,4,3,2,1,2,1,1,1,4,1,1,1,2,1,1,3,4,3,3,2,20,1,1,3,20,1,60,5,2,1,2,2,2,2,5,1,1,2
1,1,1,1,3,1,3,1,1,1,1,1,3,1,3,1,1,1,1,1,3,1,2,1,18,1,2,2,18,2,3, ,1,2,2,2,3,2,1,1,1,2
1,1,1,1,4,1,1,1,1,1,1,1,4,1,3,1,3,1,1,1,4,1,3,1,23,4,1,2,24,2,52,5,2,1,1,2,1,2,5,3,2,2
2,1,1,1,2,1,1,2,1,1,1,1,5,1,3,1,4,3,3,1,1,2,1,2,20,2,2, ,20,2,104,1,1,2,2,2,2,2,6,4,2,2
1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,4,1,1,1,19,1,2,2,18,2,130,3,1,1,2,2,2,2,5,1,1,2
1,1,1,3,4,1,3,2,1,1,1,3,4,1,3,2,3,1,1,1,4,1,3,1,19,1,1,2,19,2,28,1,1,2,1,2,2,2,2,3,1,2
1,1,1,2,3,2,3,1,1,1,1,1,3,1,3,1,2,2,1,2,3,2,1,2,18,1,2,2,18,1,156,1,1,1,1,2,1,2,4,3,3,2
3,3,2,4,4,3,2,2,2,1,1,1,5,1,2,1,5,5,3,4,3,3,1,5,18,1,2,2,19,1,3,2,1,1,2,2,1,2,7,7,7,2
1,1,1,1,3,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,1,3,1,20,1,1,2,19,2,312,5,1,1,1,2,3,2,7,4,7,2
2,2,2,1,2,3,1,1,1,1,1,1,3,1,1,1,4,3,3,1,2,3,1,2,19,1,1,2,17,2,884,7,1,1,1,2,2,2,1,1,1,2
1,2,1,2,4,2,1,1,1,2,1,2,4,2,1,1,1,1,1,2,5,1,1,2,19,1,3,4,19,2,52,5,1,1,1,2,2,1,7,1,1,2
2,1,1,2,4,1,2,2,2,2,1,2,4,2,2,2,3,1,1,1,3,1,2,1,21,2,3,3,19,2,40,1,1,2,1,2,2,1,6,1,1,2
2,1,1,2,2,2,2,1,2,1,1,2,3,1,2,1,2,2,1,1,3,1,2,2,19,3,3,4,19,1,12,3,1,1,2,2,2,2,7,4,2,2
4,2,3,3,2,2,3,2,3,1,1,1,1,1,2,1,2,2,1,3,1,3,1,3,18,1,1,2,18,2,4,1,1,1,1,2,1,2,6,5,6,2
3,2,1,2,4,2,2,2,2,1,1,2,4,1,1,2,4,3,1,3,2,4,2,2,18,1,2,2,18,1,4,1,1,2,1,2,1,2,7,4,5,2
2,2,1,2,3,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,3,2,1,1,18,1,2,2,18,2,208,1,1,1,1,2,1,2,4,2,1,2
1,1,1,1,4,1,3,1,5,1,1,1,2,1,2,1,1,1,1,1,4,1,4,1,18,1,2,2,18,2,208,7,1,1,1,2,1,2,1,1,1,2
2,2,1,2,3,1,1,1,1,1,1,1,4,1,1,1,4,1,1,2,3,1,1,2,18,1,1,2,18,2,208,5,1,1,1,2,1,2,5,4,4,2
1,1,1,1,4,1,2,2,2,1,1,2,4,1,2,1,1,1,1,1,4,1,4,1,20,3,2,2,21,2,3,2,1,1,2,2,1,2,4,1,1,2
1,1,1,1,2,1,1,1,1,1,1,1,4,1,2,1,5,1,1,1,3,1,5,1,21,1,1,2,20,2,3,5,1,2,1,2,1,4,1,1,1,2
1,1,1,1,4,1,1,1,1,1,1,2,4,1,1,1,2,1,1,1,5,1,1,1,18,1,1,3,18,2,3,5,1,1,2,2,1,2,5,1,1,2
3,2,2,3,2,2,1,3,4,1,1,1,4,1,3,1,3,1,1,1,4,1,2,1,19,3,2,2,18,2,156,1,1,2,2,2,1,2,1,1,1,2
5,1,1,1,4,1,4,1,5,1,1,1,4,1,4,1,5,1,1,1,5,1,4,1,24,1,2,2,22,2,52,1,1,2,2,2,1,2,5,1,1,2
4,1,1,1,5,1,5,1,4,1,1,1,3,1,3,1,2,1,1,1, ,1,4,1,21,3,2,2,19,1,312,5,1,1,1,2,1,2,5,1,1,2
4,3,3,4,2,4,1,2,4,1,1,1,5,2,3,2,4,2,2,3,3,3,2,3,20,1,2,2,20,2,58,3,1,1,1,2,2,2,6,4,5,2
5,2,1,1,2,1,2,2,5,1,1,1,5,1,5,1,5,1,1,1,5,1,5,1,23,3,2,2,22,1,52,5,1,1,1,2,1,2,6,1,1,2
1,1,1,1,4,1,4,1,1,1,1,1,4,1,4,1,2,1,1,1,4,1,4,1,21,3,2,2,21,2,104,5,1,1,1,2,5,2,4,1,1,2
2,1,1,2,3,2,3,2,1,2,1,2,3,1,3,2,2,1,1,2,4,1, ,2,19,1,2,1,20,2,40,1,1,1,2,2,1,2,3,1,1,2
1,2,1,2,4,2,1,2,1,1,1,1,4,1,2,2,2,1,1,1,4,2,1,1,19,1,2,2,19,2,416,5,1,1,2,2,1,2,3,1,1,2
1,1,1,1,4,1,3,1,1,1,1,1,4,1,3,1,1,1,1,1,4,1,3,1,211,1,1,2,21,1,106,8,1,1,2,2,1,2,4,1,1,2
1,1,1,1,4,1,3,1,2,1,1,1,3,1,3,1,1,1,1,1,4,1,3,1,18,1,2,2,18,2,1,1,1,2,2,2,1,2,4,1,1,2
1,1,1,1,5,1,5,1,1,1,1,1,5,1,5,1,1,1,1,1,5,1,5,1,21,1,1,2,21,2,2,5,1,2,2,2,2,2,4,4,4,2
1,2,2,4,5,2,1,2,1,1,1,1,5,1,2,1,3,2,1,3,5,2,4,2,20,1,2,2,20,2,13,3,1,1,2,2,2,2,7,4,4,2
2,2,1,1,2,1,4,1,4,1,1,1,4,1,5,1,3,1,1,2,4,1,3,1,22,1,1,2,21,2,52,5,2,1,2,2,3,2,7,4,4,2
2,1,1,1,5,2,3,1,1,1,1,1,4,1,5,11,2,1,1,1,4,2,2,2,21,1,2,2,21,1,728,5,1,1,1,2,1,2,2,2,1,2
